Sale Date,Product Category,Region,Sales Amount,Cost of Goods,Profit
2023-03-31,Food & Beverage,West,751.97,323.24,428.73
2023-09-14,Clothing,North,893.92,433.85,460.07
2023-02-16,Clothing,West,946.44,639.89,306.55
2023-05-08,Books,West,83.37,65.41,17.96
2023-09-18,Clothing,South,79.21,36.17,43.04
2023-10-09,Clothing,North,239.72,183.61,56.11
2023-01-30,Books,North,567.17,355.4,211.77
2023-10-10,Home Goods,South,424.81,202.21,222.6
2023-03-08,Home Goods,East,373.14,156.15,216.99
2023-06-30,Home Goods,South,158.88,91.54,67.34
2023-09-25,Clothing,North,895.64,496.89,398.75
2023-07-15,Home Goods,West,57.5,27.89,29.61
2023-11-09,Home Goods,East,845.34,398.78,446.56
2023-02-04,Home Goods,West,765.94,562.45,203.49
2023-02-03,Clothing,East,421.08,186.14,234.94
2023-07-21,Books,South,20.55,11.51,9.04
2023-05-23,Books,North,496.87,353.21,143.66
2023-04-18,Clothing,West,411.14,298.95,112.19
2023-12-30,Books,West,566.39,311.0,255.39
2023-10-29,Home Goods,North,94.97,57.46,37.51
2023-07-12,Food & Beverage,South,480.8,321.54,159.26
2023-10-31,Electronics,East,885.25,629.19,256.06
2023-06-29,Clothing,South,549.19,264.98,284.21
2023-12-16,Home Goods,North,990.23,600.1,390.13
2023-11-15,Electronics,West,90.18,43.4,46.78
2023-07-12,Food & Beverage,West,440.24,190.4,249.84
2023-03-07,Clothing,West,599.96,397.81,202.15
2023-06-24,Books,North,784.75,509.37,275.38
2023-04-19,Food & Beverage,West,169.84,96.98,72.86
2023-05-29,Clothing,East,114.41,69.61,44.8
2023-01-22,Clothing,South,146.58,81.6,64.98
2023-08-29,Electronics,West,25.89,16.22,9.67
2023-07-17,Home Goods,West,968.22,438.75,529.47
2023-11-10,Books,South,837.43,435.75,401.68
2023-03-12,Electronics,North,357.07,208.48,148.59
2023-10-31,Books,West,966.38,625.98,340.4
2023-08-27,Home Goods,South,260.3,161.51,98.79
2023-02-25,Food & Beverage,South,313.2,180.69,132.51
2023-06-02,Books,South,257.34,172.86,84.48
2023-05-11,Books,West,987.91,756.67,231.24
2023-04-13,Home Goods,North,337.44,162.21,175.23
2023-03-02,Clothing,West,851.61,612.39,239.22
2023-09-11,Books,West,488.36,353.12,135.24
2023-11-16,Home Goods,West,689.3,373.62,315.68
2023-11-12,Books,North,238.61,118.34,120.27
2023-03-24,Clothing,East,398.11,168.67,229.44
2023-10-03,Food & Beverage,West,377.04,186.84,190.2
2023-04-08,Books,South,981.55,534.97,446.58
2023-06-13,Books,South,161.83,79.35,82.48
2023-09-16,Electronics,West,592.56,401.31,191.25
2023-03-09,Electronics,North,89.57,64.21,25.36
2023-02-28,Electronics,South,132.92,101.11,31.81
2023-06-22,Food & Beverage,West,543.49,433.51,109.98
2023-09-10,Home Goods,East,815.75,639.0,176.75
2023-01-08,Clothing,East,804.97,342.83,462.14
2023-10-21,Home Goods,West,339.4,137.28,202.12
2023-05-05,Clothing,North,724.84,290.87,433.97
2023-03-22,Clothing,West,205.62,120.93,84.69
2023-01-31,Home Goods,East,809.76,430.21,379.55
2023-11-01,Food & Beverage,South,569.48,278.21,291.27
2023-11-06,Home Goods,East,67.73,38.61,29.12
2023-02-11,Clothing,North,681.76,409.31,272.45
2023-05-10,Electronics,West,864.02,654.44,209.58
2023-03-10,Home Goods,South,912.06,414.38,497.68
2023-10-21,Home Goods,West,580.61,411.95,168.66
2023-08-18,Clothing,West,505.77,365.19,140.58
2023-10-11,Home Goods,North,437.89,225.92,211.97
2023-04-25,Clothing,East,333.71,217.01,116.7
2023-09-06,Food & Beverage,West,732.21,466.18,266.03
2023-02-15,Electronics,North,122.46,75.66,46.8
2023-10-19,Books,South,892.26,381.83,510.43
2023-12-20,Home Goods,South,887.74,454.15,433.59
2023-02-09,Electronics,East,631.07,322.46,308.61
2023-11-07,Clothing,West,563.23,245.18,318.05
2023-02-05,Food & Beverage,West,721.59,378.25,343.34
2023-06-27,Home Goods,North,923.34,463.91,459.43
2023-03-02,Clothing,East,769.88,419.16,350.72
2023-06-13,Electronics,North,285.8,133.45,152.35
2023-06-18,Home Goods,East,596.1,323.21,272.89
2023-05-25,Food & Beverage,South,491.07,261.75,229.32
2023-06-14,Books,East,316.81,233.04,83.77
2023-09-12,Food & Beverage,South,768.67,363.2,405.47
2023-10-07,Electronics,East,412.55,307.18,105.37
2023-01-05,Clothing,South,832.59,555.93,276.66
2023-05-19,Clothing,West,51.91,24.02,27.89
2023-02-10,Home Goods,North,472.07,337.34,134.73
2023-04-28,Books,South,333.78,141.74,192.04
2023-11-13,Clothing,West,351.3,241.31,109.99
2023-01-14,Food & Beverage,West,109.9,63.16,46.74
2023-08-14,Books,North,364.78,148.02,216.76
2023-04-05,Books,South,343.28,195.78,147.5
2023-09-22,Home Goods,West,749.78,390.37,359.41
2023-11-27,Books,South,636.16,488.76,147.4
2023-02-22,Home Goods,West,509.44,293.7,215.74
2023-05-12,Home Goods,East,497.08,330.37,166.71
2023-05-30,Books,South,172.6,112.35,60.25
2023-09-06,Electronics,North,238.15,112.3,125.85
2023-11-02,Food & Beverage,West,416.12,324.89,91.23
2023-05-26,Electronics,North,87.72,41.26,46.46
2023-08-30,Food & Beverage,East,362.07,264.27,97.8
2023-04-20,Books,East,215.28,87.35,127.93
2023-02-16,Home Goods,South,442.48,293.72,148.76
2023-04-08,Electronics,North,399.44,229.02,170.42
2023-06-22,Electronics,South,779.62,390.71,388.91
2023-03-11,Food & Beverage,East,691.85,510.19,181.66
2023-07-26,Home Goods,East,173.11,135.69,37.42
2023-03-09,Clothing,South,603.54,250.99,352.55
2023-09-19,Books,East,73.7,39.6,34.1
2023-11-08,Clothing,North,710.7,388.02,322.68
2023-09-24,Food & Beverage,West,510.4,387.74,122.66
2023-08-18,Books,North,798.37,587.86,210.51
2023-04-18,Clothing,East,305.93,124.54,181.39
2023-08-30,Home Goods,East,715.0,301.79,413.21
2023-04-23,Books,South,672.82,472.13,200.69
2023-02-13,Electronics,East,297.6,203.31,94.29
2023-03-26,Clothing,South,30.73,22.18,8.55
2023-02-08,Food & Beverage,North,145.89,59.34,86.55
2023-03-01,Electronics,East,482.25,340.75,141.5
2023-01-18,Clothing,North,502.58,210.2,292.38
2023-11-05,Electronics,South,693.9,500.5,193.4
2023-10-23,Electronics,North,234.09,178.55,55.54
2023-12-07,Books,North,630.59,281.6,348.99
2023-10-12,Home Goods,West,223.54,99.84,123.7
2023-07-13,Food & Beverage,West,277.28,194.39,82.89
2023-10-16,Books,North,918.09,608.54,309.55
2023-02-28,Books,North,699.35,318.55,380.8
2023-06-01,Books,North,77.16,33.22,43.94
2023-08-11,Food & Beverage,South,934.7,714.59,220.11
2023-05-21,Home Goods,South,140.34,87.6,52.74
2023-03-07,Electronics,North,711.57,360.47,351.1
2023-11-12,Food & Beverage,North,438.32,281.19,157.13
2023-08-16,Clothing,South,497.04,200.12,296.92
2023-08-19,Home Goods,North,611.59,316.05,295.54
2023-10-12,Food & Beverage,West,329.41,260.95,68.46
2023-04-25,Electronics,North,389.62,238.64,150.98
2023-01-26,Books,North,356.25,265.85,90.4
2023-07-02,Books,West,680.52,524.4,156.12
2023-08-19,Electronics,North,373.19,157.81,215.38
2023-04-10,Clothing,East,327.15,139.74,187.41
2023-08-21,Food & Beverage,West,487.28,285.14,202.14
2023-03-25,Electronics,West,918.8,450.03,468.77
2023-07-24,Food & Beverage,North,288.03,207.17,80.86
2023-08-19,Electronics,West,93.91,45.25,48.66
2023-03-11,Electronics,East,742.38,536.86,205.52
2023-05-25,Food & Beverage,West,440.93,350.45,90.48
2023-01-16,Clothing,South,191.83,116.16,75.67
2023-04-30,Home Goods,South,164.43,70.72,93.71
2023-08-15,Books,East,953.72,432.06,521.66
2023-08-09,Electronics,South,94.33,51.5,42.83
2023-07-10,Clothing,North,40.75,29.55,11.2
2023-09-17,Books,North,899.26,422.36,476.9
2023-09-22,Books,East,997.94,630.41,367.53
2023-02-13,Electronics,West,643.07,294.88,348.19
2023-10-04,Food & Beverage,East,265.44,119.96,145.48
2023-05-03,Books,North,351.86,253.83,98.03
2023-05-24,Clothing,West,319.47,241.03,78.44
2023-11-27,Electronics,North,505.48,296.42,209.06
2023-02-28,Electronics,South,985.63,630.16,355.47
2023-03-13,Books,South,138.93,108.0,30.93
2023-01-03,Books,West,93.68,50.18,43.5
2023-10-26,Books,East,335.27,140.88,194.39
2023-02-17,Food & Beverage,West,652.56,338.67,313.89
2023-02-26,Food & Beverage,West,917.93,544.16,373.77
2023-02-05,Home Goods,South,911.58,579.77,331.81
2023-10-18,Food & Beverage,East,341.55,262.48,79.07
2023-04-12,Clothing,East,388.85,297.99,90.86
2023-06-20,Home Goods,West,305.2,232.98,72.22
2023-07-18,Home Goods,North,751.56,336.09,415.47
2023-03-17,Books,East,909.69,595.55,314.14
2023-01-08,Food & Beverage,East,880.74,431.47,449.27
2023-05-24,Food & Beverage,North,256.49,184.4,72.09
2023-12-27,Food & Beverage,West,876.92,587.12,289.8
2023-07-26,Clothing,East,67.34,41.06,26.28
2023-05-26,Clothing,North,291.98,133.47,158.51
2023-09-20,Home Goods,South,335.64,210.75,124.89
2023-06-17,Food & Beverage,West,548.47,368.09,180.38
2023-10-02,Electronics,West,177.18,83.81,93.37
2023-05-05,Home Goods,North,448.91,189.38,259.53
2023-03-31,Home Goods,South,941.43,449.22,492.21
2023-07-11,Food & Beverage,East,402.82,200.03,202.79
2023-02-09,Home Goods,West,400.3,290.79,109.51
2023-11-12,Books,East,582.78,336.51,246.27
2023-03-03,Clothing,West,642.32,317.76,324.56
2023-11-13,Home Goods,West,674.91,522.05,152.86
2023-06-21,Home Goods,North,174.84,135.67,39.17
2023-10-25,Books,East,902.62,566.65,335.97
